"S.N","Scheme Code","MSC_Primary","MSC_Secondary","WEP_Primary","WEP_Secondary","Vertical ","Title","Scheme Provider","Area Of Interest","Sector ","State","Eligibility","Link for enrollment","Link to scheme information","Link to government website","Details","Gender ","Implementing Agency","Target Audience",""
"66","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Tailoring Training to Scheduled Caste & Backward Classes Widows/Destitute Women/Girls","Welfare of Scheduled Castes and Backward Classes Department","","Manufacturing","Haryana","Scheduled Caste & Backward Classes Widows/Destitute Women/Girls","NA","","http://www.haryanascbc.gov.in/tailoring-training-to-scheduled-caste-backward-classes-widowsdestitute-womengirls","Awarding stipends to trainees under training in Community Centre is to make them capable of earning their livelihood. Stipends of Rs.100 per person, admissible for one course only.
On satisfactory completion of three months training course, each
trainee will be awarded a new sewing machine free of cost.","F","Welfare of Scheduled Caste & Backward Classes Department, Government of Haryana","Labor in enterprise",""
"67","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Financial Assistance for Training to Scheduled Caste candidates in Un-organised Sector through Private Institutions","","","All","Haryana","Scheduled Caste candidates","NA","","http://haryanascbc.gov.in/financial-assistance-for-training-to-scheduled-caste-candidates-in-un-organized-sector-through","Financial assistance is given to private institutions for training SC candidates to provide short-term training in computer, food processing, carpentry, dress making, hair styling & beautician, plastic processing, automobile repair, electrician, plumbing, etc., for creating employment opportunities","B","Welfare of Scheduled Caste & Backward Classes Department, Government of Haryana","Labor in enterprise",""
"68","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Creation of employment generation opportunities by setting up employment oriented institutes/training programmes.","","","All","Haryana","Scheduled Caste candidates","NA","","http://haryanascbc.gov.in/creation-of-employment-generation-opportunities-by-setting-up-employment-oriented","The scheme aims to enhance employment opportunities to Scheduled Caste persons whose family income does not exceed Rs.2.50 lakhs p.a. by providing short term training for different trades like driving, paramedical, automobiles, food processing, air-hostess. etc.","B","Technical Education Department, Government of Haryana.","Enterprises",""
"69","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Fiscal Incentives under IT policy","Information Technology, Electronics and Communication Department","","Service","Haryana","IT","NA","","https://ideas.msme.gov.in/StateSchemes.aspx?fName=Haryana-22120.pdf&Mname=HARYANA","a. Stamp duty: IT industry shall be eligible for 100% reimbursement of stamp duty paid on sale/lease deeds paid on the first transaction for setting up units in notified IT parks, IT cities, Technology parks/STPIs or any land earmarked by State Government for IT industry. Units setting up in Block ‘B’, ‘C’, ‘D’ shall also be eligible for 100% reimbursement of stamp duty. b. Electricity duty exemption: 100% exemption for a period of 7 years from commercial operations. c. Power subsidy: IT/ITeS industry shall be eligible for getting power at Rs.5.49 per unit* provided investor signs MoU with Government of Haryana for investments. * Subsidy is restricted up to certain level of consumption of per industrial unit which shall be decided separately with approval of Chief Minister. d. Property tax at industrial rates: Property tax on IT/ITeS
units shall be at par with the industrial rates.
e. SGST Reimbursement: 100% reimbursement (net tax) for a period of 10 years subject to maximum of 100% of fixed capital investment for units setting up in ‘C’ & ‘D’ blocks.
f. Mega projects: Mega projects shall be eligible for special package of incentives over and above of the standard package for IT industry shall be considered by the
empowered committee on case to case basis.
g. Ultra mega projects: Ultra mega projects shall be offered special package of incentives by Haryana Enterprise Promotion Board including such as mixed land use,
allotment of land at a price to be decided by the Government, etc.","B","","Enterprises",""
"70","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Fiscal Incentives under ESDM policy","Information Technology, Electronics and Communication Department","","Manufacturing","Haryana","ESDM","NA","","https://ideas.msme.gov.in/StateSchemes.aspx?fName=Haryana-22120.pdf&Mname=HARYANA","Benefits include waiving off stamp duty cost, capital subsidy, SGST reimbursement, and special benefits for mega and ultra projects","B","","Enterprises",""
"71","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Fiscal Incentives under MSMEs policy","Information Technology, Electronics and Communication Department","","All","Haryana","All","NA","","https://ideas.msme.gov.in/StateSchemes.aspx?fName=Haryana-22120.pdf&Mname=HARYANA","Access to finance, interest subsidy, and other benefits. Please refer to the policy document to learn more about the incentives.","B","","Enterprises",""
"72","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Fiscal Incentives - Animation, Visual effects, Gaming and Comics – AVGC","","","Service","Haryana","AVGC Startups","NA","","https://ideas.msme.gov.in/StateSchemes.aspx?fName=Haryana-22120.pdf&Mname=HARYANA","Production subsidy, capital subsidy, refund of certification charges and infrastructure augmentation is provided. The Central government will facilitate companies based in Haryana to undertake research by providing access to advanced technology equipment/studio facilities, researchers and tie ups with Universities. b. AVGC park: Realising potential of Gurgaon to become an AVGC hub of north India, Government of Haryana shall earmark atleast 50 acre of land in Gurgaon from the pre cleared land parcels to establish AVGC park.","B","","Enterprises",""
"73","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","Mukhya Mantri Swavlamban Yojana","Industries Department","","All","Himachal Pradesh","Youth (18-45 years age) with greenfeild enterprise. Upper age relaxation of 5 years is allowed for women.","https://emerginghimachal.hp.gov.in/sso/investor/signin","https://startuphimachal.hp.gov.in/assets/frontend/uploads/mmsy.pdf","http://mmsy.hp.gov.in/","Himachal government has started ""Mukhyamantri Swavalamban Yojana"" for the youth of 18 to 45 years of the state who want to set up industry, service sector, business. Under the scheme, appropriate subsidy will be available.

Project eligible up to ₹ 60 lakh under the scheme

Under the scheme, widows will get 35%, women, 30% and others 25% subsidy on plant, machinery and equipment up to ₹ 40 lakh.

Interest subvention of 5% for 3 years on loan of ₹ 40 lakh

Land allotment in industrial areas will be available at cheaper rates","B","The new Scheme will implemented by the Department of Industries and the existing entrepreneurs/beneficiaries of the existing Scheme will also be eligible for incentives/concessions as per the new Scheme.","Entrepreneurs",""
"74","","Mentoring/Networking","Entrepreneurship Promotion","","Incubation and Acceleration",", Incubation and Acceleration","Chief Minister’s Startup/Innovation Projects/New Industries Scheme","Department of Industries.","","All","Himachal Pradesh","Eligibility of Applicants 
Any individual/group of individuals having innovative idea/Concept will be eligible. 

Eligibility for Institutions 
Universities/education institutions, Incubation Centre/PSUs/R&D Institutions/Private and other establishments will be eligible as an institution to support and mentor to innovators as approved by Committee","https://startuphimachal.hp.gov.in/about/incentive-procedure/","https://www.startupindia.gov.in/srf/reports/Himachal_Pradesh_Report_26072020.pdf","https://startuphimachal.hp.gov.in/about/startup/#:~:text=In%20order%20to%20turn%20the,New%20Industries%20Scheme%E2%80%9D%20has%20been","As part of the initiative and to promote entrepreneurship, in 2016, the state Government of Himachal Pradesh (GoHP) launched a ‘Chief Minister’s Startup/ Innovation Projects/ New Industries scheme’ with the objective to turn the educated youth in the state from job seekers to job creators. The scheme/ policy aims to create employment, provide support to startups under professional guidance and holistically provide handholding support to encourage growth of startups.
Under this initiative, the state government is providing incubation support to startups. The students who would apply to become incubatees would be given 5% grace marks and 20% attendance every semester subject to acceptance by educational institutions.
The state provides up to INR 1 lakh for the preparation of the feasibility report
• The state would provide land at a concessional rate of 50% of the fixed rates set by the Department of Industries
• The state of HP would charge stamp duty at 3% only on the conveyance deed and lease deed","N","Department of Industries","Entrepreneurs",""
"75","","Access to business support services","Entrepreneurship Promotion","Business Development Services","Incubation and Acceleration","Business Development Services, Incubation and Acceleration","Mission on Food Processing","Department of Industries","","Agri and allied activities","Himachal Pradesh","All implementing agencies/ organizations such as Govt. /Pus/ Joint Ventures / NGOs/ Cooperatives/ SHG’s/ Private Sector/ Individuals engaged in establishment/ up- gradation/ modernization of food processing units would be eligible for financial assistance under the scheme.","NA","https://emerginghimachal.hp.gov.in/themes/backend/uploads/notification/SMFP.pdf","https://emerginghimachal.hp.gov.in/home/pageView/pId/read/title/QWJvdXQgTVNNRQ==/readmoreID/0","The top three objectives of the scheme are:
i. To promote facilities for post- harvest operations including setting up of food processing industries.
ii. To undertake decentralization of the schemes so far operated by the Ministry of Food Processing Industries (MoFPI) in order to take into account the requirements suitable to the local needs.
iii. To augment the capacity of food processors working to upscale their operations through capital infusion, technology transfer, skill Up-gradation and handholding support
The Major Programmes /schemes to be implemented under SMFP : (i) Scheme for Technology up-gradation/ Establishment / Modernization of Food Processing Industries . (ii) Scheme for Cold Chain, Value Addition and Preservation Infrastructure for Non-Horticultural Products. (iii) Scheme for Promotional Activities. (a) Organizing Seminar/ Workshops (b) Conducting Studies/ Surveys (c) Support to Exhibitions/ Fairs (d) Advertisement & Publicity (iv) Scheme for Creating Primary Processing Centers/ Collection centers in Rural areas (v) Modernization of Meat Shops (vi) Reefer Vehicles. To carry out the administration of State Food Processing Mission, a State Level Empowered Committee (SLEC) has already been constituted by the state government. State Level Empowered Committee (SLEC) will be the competent authority to decide interse allocation of funds amongst the above schemes. However, not more than 5% and 10% of the allocation will be utilized for promotional activities and Human Resources Development schemes respectively. SLEC may allocate resources to the other schemes as per local requirements in the state.","B","To carry out administration of the State Food Processing Mission, a State Level Empowered Committee (SLEC) has already been constituted by the State Government. State Level Empowered Committee (SLEC) will be the competent authority to decide interse allocation of funds amongst the above schemes. However, not more than 5% and 10% of the allocation will be utilized for Promotional Activities and Human Resources Development schemes respectively. SLEC may allocate resources to the other schemes as per local requirements in the State.","Enterprises",""
"76","","Training/skilling","Entrepreneurship Promotion","Business Development Services","Incubation and Acceleration","Business Development Services, Incubation and Acceleration","State rural engineering based training program scheme","","","All","Himachal Pradesh","Enterpreneurs","https://emerginghimachal.hp.gov.in/themes/backend/uploads/policies/srebtp-policy.pdf","https://emerginghimachal.hp.gov.in/themes/backend/uploads/policies/srebtp-policy.pdf","https://emerginghimachal.hp.gov.in/home/pageView/pId/read/title/QWJvdXQgTVNNRQ==/readmoreID/0","Objectives of this scheme are:- 1)To develop and upgrade skills of rural entrepreneurs belonging to General category and scheduled tribe category in Rural Engineering/ Economy Based Industries so that they may engage themselves in gainful employment ventures after getting training in local occupations and the economic activities available.
2)To encourage entrepreneurship in rural engineering/economy-based enterprises (both manufacturing/service) & technical services through capacity building of the target group so that they get linked to self-employment generation schemes of Government of India and the state government.
3)To upgrade the skills of the unskilled target group in rural industrial, artisans & technical services so that they may be gainfully employed after completion of the training programme.
Suggestive list of trade/enterprises that can be covered under the scheme:
Furniture making Automobile repair, Welding & Steel Fabrication, Agriculture Implants manufacturing & Back Smithy, Machine & lethe work, Bamboo & Cane Articles Manufacturing Carpentry, Masonry, electricias & plumbing works, Electronics gode regir & motor winding Computer Aided Designing (CAD) Bakery Products, Auto Ragwir, Tyr Puncture, Desting Painting, Hosiery, Beauty Parlour, Food Processing, Minal Cut Meal Souto, Milk Processing Aluminum Fabrication, Radiation Work, Fles Printing, Eco-Friendly Bag Making Manufacturing of Toys So Trys Artificial Jewellery, handioom, cering & servicing electrician, etc. Please refer to the scheme document for more details.","B","","Entrepreneurs",""
"77","","Entrepreneurship Promotion","Access to business support services","Incubation and Acceleration","Business Development Services","Incubation and Acceleration, Business Development Services","Electronics System Design & Manufacturing Policy","Department of Information Technology and e-Governance","","Manufacturing","Jharkand","","NA","","https://www.jharkhand.gov.in/PDepartment/SearchUploadedDocuments?department=5cedfc034ccdad75d58a0fa1875d396a&doctype=c81e728d9d4c2f636f067f89cc14862c&subdoctype=c81e728d9d4c2f636f067f89cc14862c","NIELIT is one of the Key Implementing Agencies for the Electronics System Design & Manufacturing Scheme of Govt. of India. NIELIT Ranchi Regional centre has been implementing the ESDM scheme in the state of Jharkhand.
The Scheme aims at enhancing the skilling capacities in ESDM sector through public and private sector for students/unemployed youth belonging to other disciplines by Utilizing the existing human resource who are undergoing studies in schools (IX standard onwards)/ITIs/Polytechnics/UG Colleges (non-engineering) and the school drop outs/unemployed youth by providing them with additional skills that are recognized by industry for employment in ESDM sector.
Encouraging new investments in training in ESDM sector by industry by providing a host of financial and non financial incentives.","B","","Enterprises",""
"78","","Access to finance","Mentoring/Networking","Funding","","Funding, ","Jharkand Startup Policy","Department of Information Technology and e-Governance","","All","Jharkand","Entrepreneurs","NA","","https://www.jharkhand.gov.in/PDepartment/SearchUploadedDocuments?department=5cedfc034ccdad75d58a0fa1875d396a&doctype=c81e728d9d4c2f636f067f89cc14862c&subdoctype=c81e728d9d4c2f636f067f89cc14862c","Jharkhand is one of the few states in the country which has connected each of the distinct pillars of a startup ecosystem through its policy. These include infrastructure, funding, human resource development, incentives and governance. The state has startup incubators, venture funds and an Entrepreneurship Development Fund which have contributed to the strong growth of the startup ecosystem. In order to ignite the spirit of entrepreneurship and innovation for people in the state and to convert ideas into potential business opportunities, the state government outlined a Startup Policy in 2016. The mission of the state is to create an enabling startup ecosystem and facilitate the growth and scaling up of at least 1000 direct startups and support 1500 startups by 2021. Please refer to the policy document to refer about the incentives given under the policy.","B","","Enterprises",""
"79","","Access to business support services","Entrepreneurship Promotion","Business Development Services","Incubation and Acceleration","Business Development Services, Incubation and Acceleration","Jharkhand textile, apparel and footware policy 2016","Department of Industries","","Manufacturing","Jharkand","","NA","","https://jharkhandindustry.gov.in/sites/default/files/Jharkhand%20Textile%20Apparel%20&%20Footwear%20Policy%202016.pdf","The policy aims to modernize textile manufacturing and improve productivity in order to ensure availability of quality fabric at affordable prices to cater to domestic and international demand. Please refer to the policy document for more details.","B","","Enterprises",""
"80","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Jharkhand Food Processing Industry Policy 2015","Department of Industries","","Agri and allied activities","Jharkand","Government Departments / PSUs / FPOs / Producer Companies / Joint Ventures / NGOs / Cooperatives / SHGs / Private Sector Companies / individuals","NA","","https://jharkhandindustry.gov.in/node/display_pdf/3_Jharkhand%20Food%20Processing%20Industry%20Policy%202015","The objective is to ensure balanced economic development of the state by favoring agricultural and allied sector and to provide maximum benefits to all stakeholders by establishing Jharkhand as a leading state in the food processing sector. Please refer to the policy document to learn more about the incentives.","B","","Enterprises",""
"81","","Entrepreneurship Promotion","Access to business support services","Incubation and Acceleration","Business Development Services","Incubation and Acceleration, Business Development Services","Jharkhand Industrial and Investment Promotion Policy 2021","Department of Industries","","All","Jharkand","","NA","","https://www.jharkhand.gov.in/PDepartment/ViewDoc?id=D014DO002SD00209082021090843146","Jharkhand Industrial and Investment Promotion Policy 2021 aims to establish state-of-the-art infrastructure, promote manufacturing, enhance inclusivity, foster innovation and create employment opportunities across sectors. Please refer to the policy document to learn more about the incentives.","B","","Enterprises",""
"82","","Entrepreneurship Promotion","Access to finance","Incubation and Acceleration","Funding","Incubation and Acceleration, Funding","Mukhyamantri Yuva Swarozgar Yojana","Department of Micro, Small & Medium Enterprises 
(Directorate of Industries, M.P.)","","All","Madhya Pradesh","Applicant should have passed minimum 5th class and age should be between 18 to 45 years.","NA","https://msme.mponline.gov.in/Portal/Services/msme2019/landing.html","","Mukhyamantri Yuva Swarozgar Yojana (MMYSY), started on August 1, 2014 is a financial assistance scheme that helps people get loans from banks to set up their own small businesses. The objective of the scheme is to provide loans through banks to all sections of the society for setting up their own industry (manufacturing) / service / business. Under the scheme, the benefit of margin money assistance, interest subsidy, loan guarantee and training will be given by the government to the beneficiaries.","B","","Entrepreneurs",""
"83","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","Mukhyamantri Yuva Udyami Yojana","Department of Micro, Small & Medium Enterprises 
(Directorate of Industries, M.P.)","","All","Madhya Pradesh","Applicant should have passed minimum 10th class and age should be between 18 to 40 years.","NA","https://msme.mponline.gov.in/Quick%20Links/DCIE/DCIDocs/Scheme/MMYUY.pdf","","The objective of the scheme is to set up its own industry (manufacturing) / service enterprise for all sections of the society, through grant of margin money
Under this scheme, margin money support will be 15 percent (maximum Rs.12 lakh) on the capital cost of the project for General category and 20 percent (max. 18 lakh) on the capital cost of the project for BPL. The project cost under this scheme should be minimum Rs.10 lakh to maximum Rs.2 crore.
Under this scheme, the interest subsidy will be payable at the rate of 5 percent per annum on the capital cost of the project and at the rate of 6 percent per annum for women entrepreneurs, for a maximum period of 7 years (maximum Rs. 5 lakh per annum).","B","","Entrepreneurs",""
"84","","Entrepreneurship Promotion","Access to finance","Incubation and Acceleration","Funding","Incubation and Acceleration, Funding","Madhya Pradesh MSME Protsahan Yojana 2019","Department of Micro, Small & Medium Enterprises 
(Directorate of Industries, M.P.)","","Manufacturing","Madhya Pradesh","MSME","NA","https://mpmsme.gov.in/mpmsmecms/Uploaded%20Document/Documents/MP_MSMEP_Scheme_2019.pdf","","With an objective to provide incentives to manufacturing industries of micro, small and medium category, Madhya Pradesh MSME Protsahan Yojna, 2019 (MP MSME Promotion Scheme 2019) has been issued. 

Expansion/ diversification/ up gradation of existing unit to be considered as new unit, is provided under certain conditions to MSMEs.","B","","Enterprises",""
"85","","Access to finance","NA","Funding","NA","Funding0","Chief Minister Krishak Udyami Yojana","NA","","All","Madhya Pradesh","Applicant should have passed minimum 10th class and age should be between 18 to 45 years. This scheme is only for the farmer son / daughter.","NA","https://msme.mponline.gov.in/Portal/Services/msme2019/landing.html","","The benefit of the scheme will be payable only for the establishment of new enterprises. There will also be a provision for training of entrepreneurs under the scheme. The provisions regarding eligibility and financial assistance of Chief Minister Yuva Udyami Yojana will be as follows:
Minimum project support of Rs. 50 thousand to maximum Rs. 2 crore. Refer to the scheme document for more details.","B","","Entrepreneurs",""
"86","","Access to finance","NA","Funding","NA","Funding0","Capital Subsidy","","","Service","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","IT/ITeS (Information Technology enabled Services) are eligible for a capital subsidy of 10% for GFCI upto Rs.2.5 crores limited to Rs.25 lakh. For GFCI above Rs.2.5 crores, capital subsidy would be 5% of incremental GFCI plus Rs.25 lakhs for GFCI upto Rs.2.5 crores. The maximum capital subsidy that can be provided would be Rs.50 lakhs. ESDM (Electronics System Design and Manufacturing) are eligible for a capital subsidy of 50% for GFCI upto Rs.10 crores limited to Rs.5 crore to be paid in seven equal annual installments","B","","Enterprises",""
"87","","Access to finance","NA","Funding","NA","Funding0","Interest Subsidy","","","Service","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","Interest subsidy of 5% of term loan on interest recovered or the actual rate charged by a lender on term loan, whichever is lower. is provided. The maximum amount that a unit can obtain as reimbursement will be Rs.50 lakhs over seven years.","B","","Enterprises",""
"88","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","IT Investment Promotion Assistance","","","Service","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","75% of the value of eligible reimbursement shall be paid on a quarterly basis for the transactions up to 30 June 2017 to eligible IT/ESDM units . The balance 25% shall be released after the issue of the assessment order by tax authorities. Eligible IT/ESDM units shall be entitled after adjusting the input tax rebate.","B","","Enterprises",""
"89","","Training/skilling","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Reimbursement on Skill Gap Trainings","","","All","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","Reimbursement on skill gap training will be provided with a maximum limit of Rs.10,000 per employee Eligibility: 50% of the cost incurred and Maximum limit: Rs.1 crore per unit","B","","Enterprises",""
"90","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Reimbursement of Stamp Duty and Registration Charges","","","All","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","Stamp duty and registration charges shall be reimbursed to eligible units/developers on lease executed on government land including land of Development Authorities, Urban local bodies, AKVNs, etc.","B","","Enterprises",""
"91","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Entry Tax Exemption","","","Manufacturing","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","All units with an investment upto Rs.500 crores in plant and machinery shall be entitled for exemption of Entry Tax for a period of 5 years. Units with investment above R.500 crores shall be entitled to exemption of Entry Tax for a period of 7 years.","B","","Enterprises",""
"92","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Patent Assistance","","","All","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","The amount sanctioned to applicants for availing patent assistance shall be disbursed by the authorized agency within a period of one week from the date of sanction.","B","","Enterprises",""
"93","","Market linkages","NA","Market Linkages","NA","Market Linkages0","Assistance in Marketing","","","Service","Madhya Pradesh","","NA","https://www.mpsedc.mp.gov.in/Uploaded%20Document/Policies%20and%20Rules/10%20Madhya%20Pradesh%20Business%20Process%20Outsourcing-Business%20Process%20Management%20(BPO-BPM)%20Industry%20Investment%20Policy%202014.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","All IT units shall be entitled to receive 50% subsidy on stall rentals for participating in designated National/International exhibitions/events, etc., subject to a maximum limit of Rs.2 lakhs for international and Rs.1 lakh for national events. Incentive shall be available to a unit once in a financial year, calculated separately for domestic & international event. For industry associations, the application for availing marketing assistance shall be submitted. Industry associations will be entitled to receive upto 50% of stall rent for participation in international trade fairs as Madhya Pradesh pavilion outside India subject to a ceiling of Rs.10 lakhs. Minimum five industrial units participation will be necessary as part of group to avail this assistance. Assistance shall be reimbursement and the association shall have to apply within three months from the date of such participation.","B","","Enterprises",""
"94","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Incentive Related to Power","","","All","Madhya Pradesh","","NA","","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","All eligible units having 'High Tension (HT)' connection by any DISCOM shall be exempted from electricity duty.","B","","Enterprises",""
"95","","Access to finance","NA","Funding","NA","Funding0","Set up food processing units of rural youth","","","Agri and allied activities","Madhya Pradesh","","NA","http://www.dif.mp.gov.in/zoldweb/InvestOpportunity/FoodProcessingPolicyMP.pdf","https://ideas.msme.gov.in/StateSchemes.aspx?fName=MP-27120.pdf&Mname=MADHYA%20PRADESH","Rural entrepreneurs can set up a primary processing unit at a cost of up to Rs.25 lakh of which they will receive 40% as a subsidy while the rest will be financed by bank loans. They can also set up small-scale mills to process rice, pulses, millets and dehydration units for onions and garlic, manufacturing of onion and garlic paste, soya milk and tomato puree, among others.","B","","Entrepreneurs",""
"96","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","Seed Money Scheme (SMS)","Directorate of Industries","","All","Maharashtra","Age Group: 18 to 50 year","NA","http://www.doingbusinessinmaharashtra.org/DIC_schemes.aspx","","The objective of the scheme is to encourage unemployed person to take up self-employment ventures through industry, service and business, by providing soft loans to meet part of the margin money to avail institutional finance.

Seed Money assistance at 15 per cent of the project cost approved by financial institutions is offered. In case of projects costing up to Rs. 10 lakhs, the quantum of assistance ranges upto 15 per cent for General category, 20% for SC/ST and OBC/NT/VT/Handicapped upto 20 per cent.","B","","Entrepreneurs",""
"97","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","District Industries Centre Loan Scheme","Directorate of Industries","","All","Maharashtra","All units falling within the purview of the Small Scale Industries Board and Village Industries, handicrafts, handlooms, Silk & Coir Industries are covered under the Scheme.","NA","http://www.doingbusinessinmaharashtra.org/DIC_schemes.aspx","","1. The objective of the scheme is to provide financial assistance in the form of margin/seed money for the promotion of tiny industries in semi-urban and rural areas with a view to generate employment opportunities including self-employment.
2. Margin money assistance is admissible only to those units whose investment in plant & machinery does not exceed Rs. 2 lakh.
3. All towns and rural areas having a population of less than 1 lakh are covered under the Scheme.
4. The extent of assistance is 20 % of the total investment or Rs. 40,000 whichever is less in case of entrepreneur belonging to general category and in case of entrepreneur belonging to scheduled caste & scheduled tribe, assistance up to 30 % of total fixed capital investment or upto maximum of Rs. 60,000 which ever is less is provided.","B","","Enterprises",""
"98","","Entrepreneurship Promotion","Mentoring/Networking","Incubation and Acceleration","","Incubation and Acceleration, ","Invest Punjab","Department of Investment Promotion","","All","Punjab","Different for different categories","https://pbindustries.gov.in/static/why_punjab;Key=Fiscal_Incentives_Startup_Units","https://pbindustries.gov.in/static/why_punjab;Key=Fiscal_Incentives_Startup_Units","","The State recognizes that different stages of MSMEs have different needs. MSME growth can be broadly classified into five stages – Ideating a Business, Starting a Business, Growing a Business, Reviving a Business and Exiting a Business. The policy will address various needs that emerge in these stages.
The Policy is not merely subsidization of factors of production but growth and performance oriented. The policy will strengthen the state institutions to support a smart MSME Ecosystem driven by efficiency and innovation. Please refer to the policy document to learn more about the incentives.","B","","Entrepreneurs",""
"99","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Scheme for financial assistance for Enterprise Resource Planning (ERP)","Industry & Mines Department","","All","Gujarat","Micro, Small & Medium manufacturing Enterprise Acknowledge under the MSMED Act 2006","NA","https://msmec.gujarat.gov.in/industrialpolicy_schemetwenty?url=Scheme-for-financial-assistance-for-Enterprise-Resource-Planning-(ERP)","https://msmec.gujarat.gov.in/industrialpolicy_schemetwenty?url=Guidline-Assistance-of-Capital-Investment","The scheme provide following assistance- For MSME Enterprises:
65% of capital cost for installation of ERP system subject to a maximum amount of Rs.1,00,000/- during policy period.
For SC/ST Entrepreneurs for MSME :
75% of capital cost for installation of ERP system subject to a maximum amount of Rs.1,00,000/- during policy period.","B","","Enterprises",""
"100","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Scheme for Exemption from payment of Stamp Duty or Reimbursement thereof","Department of Industries and Commerce","","All","Punjab","Enterprises","NA","http://investpunjab.gov.in/assets/docs/Detailed_Schemes_and_Operational_Guidelines2018.pdf","http://investpunjab.gov.in/home","Eligibility and Quantum of Assistance: (i). Micro, Small & Medium Enterprises - 100% exemption/ reimbursement of stamp duty on purchase / leasing of land /building for industrial use for the establishment of enterprises.
(ii). Large Units and anchor units - 100% exemption/ reimbursement of stamp duty on purchase/ leasing of land /building for industrial use for the establishment of manufacturing/ service enterprises.
All the eligible units shall apply on the web portal in the prescribed application form - SD along with attachments for seeking exemption from Stamp Duty on purchase/lease of land and
building.","B","Department of Industries and Commerce","Enterprises",""
